0001:,0002:,0021:,0022:,2854:,2855:,8002:,2861:,0027:,0201:,2174:,8001:,2953:,2954:,2955:,2956:,2957:,2958:,2959:,2960:,2959:,2164:,2165:,2963:,2186:,2964:,2965:,2185:
SFD001,1,4,310664,01,1,310664,20170524,20170523,041900,1,1,1,1,1,10,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,041900,1,1,1,1,1,10,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,041900,1,1,1,1,1,10,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,041900,1,1,1,1,1,20,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,041900,1,1,1,1,0,20,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,041900,1,1,1,1,0,20,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,041900,1,1,1,1,1,7,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,041900,1,1,1,1,1,12,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,751500,1,2,1,1,1,4,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,751500,1,2,1,1,1,4,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310084,01,1,310084,20170524,20170523,751500,1,2,1,1,1,3,0,138,0,0,0,0,0,1,2,20,310084,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,751500,1,2,1,1,1,3,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,751500,1,2,1,1,1,4,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,751500,1,2,1,1,1,4,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,751500,1,2,1,1,1,8,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,751500,1,2,1,1,0,8,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,751500,1,2,1,1,0,6,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310084,01,1,310084,20170524,20170523,043600,1,3,1,1,1,1,0,138,0,0,0,0,0,1,2,20,310084,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,043600,1,3,1,1,1,2,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,043600,1,3,1,1,1,2,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,043600,1,3,1,1,1,3,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,043600,1,3,1,1,1,4,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,043600,1,3,1,1,0,3,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,043600,1,3,1,1,0,4,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,043600,1,3,1,1,1,3,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,043600,1,3,1,1,1,2,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310084,01,1,310084,20170524,20170523,043700,1,4,1,1,1,2,0,138,0,0,0,0,0,1,2,20,310084,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,043700,1,4,1,1,1,3,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,043700,1,4,1,1,1,2,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,043700,1,4,1,1,1,5,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,043700,1,4,1,1,1,12,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,043700,1,4,1,1,0,3,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,043700,1,4,1,1,0,8,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,043700,1,4,1,1,1,7,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,043700,1,4,1,1,1,5,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310084,01,1,310084,20170524,20170523,301900,1,5,1,1,1,2,0,138,0,0,0,0,0,1,2,20,310084,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,301900,1,5,1,1,1,6,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,301900,1,5,1,1,1,8,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,301900,1,5,1,1,1,8,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,301900,1,5,1,1,1,32,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,301900,1,5,1,1,0,15,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,301900,1,5,1,1,0,14,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,301900,1,5,1,1,1,6,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,301900,1,5,1,1,1,6,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,831500,1,6,1,1,1,3,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,831500,1,6,1,1,1,6,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,831500,1,6,1,1,1,6,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,831500,1,6,1,1,1,20,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,831500,1,6,1,1,0,24,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,831500,1,6,1,1,0,20,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,831500,1,6,1,1,1,8,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,832000,1,15,1,1,1,2,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,832000,1,15,1,1,1,10,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,832000,1,15,1,1,0,3,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,832000,1,15,1,1,0,9,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,832000,1,15,1,1,1,5,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,832000,1,15,1,1,1,2,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,752100,1,16,1,1,1,2,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,752100,1,16,1,1,1,2,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,752100,1,16,1,1,1,8,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,752100,1,16,1,1,0,1,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,752100,1,16,1,1,0,6,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,752100,1,16,1,1,1,1,0,78,0,0,0,0,0,1,2,20,310731,1
SFD001,1,4,310905,01,1,310905,20170524,20170523,752100,1,16,1,1,1,2,0,139,0,0,0,0,0,1,2,20,310905,1
SFD001,1,4,310664,01,1,310664,20170524,20170523,030100,1,17,1,1,1,2,0,110,0,0,0,0,0,1,2,20,310664,1
SFD001,1,4,310681,01,1,310681,20170524,20170523,030100,1,17,1,1,1,6,0,48,0,0,0,0,0,1,2,20,310681,1
SFD001,1,4,310691,01,1,310691,20170524,20170523,030100,1,17,1,1,1,6,0,58,0,0,0,0,0,1,2,20,310691,1
SFD001,1,4,310711,01,1,310711,20170524,20170523,030100,1,17,1,1,1,8,0,60,0,0,0,0,0,1,2,20,310711,1
SFD001,1,4,311601,01,1,311601,20170524,20170523,030100,1,17,1,1,0,2,50,0,0,0,0,0,0,1,2,20,311601,1
SFD001,1,4,310781,01,1,310781,20170524,20170523,030100,1,17,1,1,0,6,220,0,0,0,0,0,0,1,2,20,310781,1
SFD001,1,4,310731,01,1,310731,20170524,20170523,030100,1,17,1,1,1,4,0,78,0,0,0,0,0,1,2,20,310731,1
