0001:,0002:,0600:,0601:,0602:,0611:,8002:,1231:,0607:,0605:,2968:,2969:,2970:,2971:,2972:,2973:,2974:,2975:,2976:,3070:,3071:,3072:,3073:,3074:,3075:,0604:,0613:,0620:,2979:,0615:,0674:,0618:,0619:,0614:,0616:,0623:
RFD100,0,1,1,213531,1,16041901,1,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,24200,1,3,1,0,78,0,0,235,234,1050
RFD100,0,1,1,213531,1,16041901,2,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,25700,1,5,2,,78,0,0,381,390,1750
RFD100,0,1,1,213531,1,16041901,3,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,27400,1,3,1,,78,0,0,205,234,1050
RFD100,0,1,1,213531,1,16041901,4,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,27700,1,3,1,,78,0,0,263,234,1050
RFD100,0,1,1,213531,1,16041901,5,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,28200,1,3,1,,78,0,0,256,234,1050
RFD100,0,1,1,213531,1,16041901,6,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,29100,1,3,1,,78,0,0,253,234,1050
RFD100,0,1,1,213531,1,16041901,7,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,29500,1,3,1,,78,0,0,182,234,1050
RFD100,0,1,1,213531,1,16041901,8,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,31700,1,3,1,,78,0,0,223,234,1050
RFD100,0,1,1,213531,1,16041901,9,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,32700,1,3,1,,78,0,0,220,234,1050
RFD100,0,1,1,213531,1,16041901,10,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,33400,1,3,1,,78,0,0,174,234,1050
RFD100,0,1,1,213531,1,16041901,11,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,33800,1,3,1,,78,0,0,299,234,1050
RFD100,0,1,1,213531,1,16041901,12,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,34700,1,3,1,,78,0,0,200,234,1050
RFD100,0,1,1,213531,1,16041901,13,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,34800,1,3,1,,78,0,0,172,234,1050
RFD100,0,1,1,213531,1,16041901,14,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,35000,1,3,1,,78,0,0,238,234,1050
RFD100,0,1,1,213531,1,16041901,15,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,36200,1,3,1,,78,0,0,163,234,1050
RFD100,0,1,1,213531,1,16041901,16,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,36300,1,3,1,,78,0,0,238,234,1050
RFD100,0,1,1,213531,1,16041901,17,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,36600,1,3,1,,78,0,0,347,234,1050
RFD100,0,1,1,213531,1,16041901,18,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,37100,1,3,1,,78,0,0,211,234,1050
RFD100,0,1,1,213531,1,16041901,19,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,38300,1,3,1,,78,0,0,225,234,1050
RFD100,0,1,1,213531,1,16041901,20,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,39000,1,3,1,,78,0,0,193,234,1050
RFD100,0,1,1,213531,1,16041901,21,0,1,20160525,102010,20160525,102327,100,12,,,,20160525,,20160527,,,,40500,1,3,1,,78,0,0,316,234,1050
